;Comment
25;У меня вот два дня температура как-то плавала в течение дня, 36-38. Чувствовал себя хорошо, только голова болела. Ни насморка ни больного горла. На третий день уже 36,6. Сегодня, на четвертый, 35,4-36,4, вполне нормальное самочувствие, но заметил пропажу некоторых запахов. То есть например кофе и спирт я очень притупленно, но чувствую, а все какие понюхал духи, даже самые химозные - нет. При этом нос чистый, дыхание идеальное. Китайские часы ещё говорят якобы кислорода в крови на пункт меньше стало, обычно 97-98, сейчас 95-97, я конесно не особо склонен верить китайскому ноунейм-браслету, но немного напрягает конечно, да)
26;Тоже к такой категории отношусь, только спина ещё побаливает.
27;У меня запахи ток на 5й день пропали. Тест положительный. У мужа также.
28;Болели вдвоём с дочерью: запахи не пропадали, были немного приглушёнными . Ковид подтверждён. У других членов семьи, кто не болел - тесты отрицательные.
29;Запахи не пропали, тест сдал в helix, пришёл положительный.
30;Эт я так уже третий день сижу в недоумении
31;Я тоже все чувствую, но на 2й день вызвала врача, тк температура высокая, а самолечение я не люблю. И вот он мой положительный результат! И сатурация 98,5.
32;у меня так на 4 день прошла температура и появилась красная сыпь по всему телу, скорая сказала корь, но что то я как то хз. Терапевт говорит аллергия, но у меня в жизни когда аллегрий не было ни на что + такие же сиптомы у знакомого с которым я контактировала. Склоняюсь к короне, завтра сдам тест, т.к. уже все сиптомы прошли
33;Я сегодня первый день с больничного вышла. И таки да,ни антибиотики,ни противовтрусное не дали лечебного эффекта. Я просто две недели ждала пока организм сам справится и запивала таблетки чаем с лимоном.
34;Я бабушку в понедельник похоронил...Последний раз видел, бодрая была и за неделю скончалась...79 лет.
35;"Как то странно.
Даже вакцинированный человек с выработанным иммунитетом при контакте с больным коронавирусом может заразиться — центр ""Вектор"
36;Потому что эффективность вакцины не 100%. Все производители, которые сейчас готовы выпустить вакцину, сообщают об эффективности 90–96%.
37;И все логично так то...
38;Ну так вакцина в РФ это весьма условная вещь. Она как бы есть, но что там намешали хуй знает.
39;Поди докажи что это не другой вид болезни, учитывая что симптомы не ясны до конца.
40;Сейчас болею ,возможно ,короновирусом , очень лёгкая форма. У жены и тещи отбивало нюх.
41;У меня почти вся семья переболела, кроме бабушки, ее мы никуда не отпускаем. Сама я, кажется, переболела еще в марте, потому что чувствовала, что не так как обычная простуда, было тяжелее. Но все в порядке сейчас. Да, когда начали болеть близкие, многие уже перестали орать, что вируса нет. Так что берегите себя и родных.
42;Пока держимся, но несколько родственников уже переболели
43;Плюс сейчас ещё и пошла инфа о нарушении мозговых функций из-за повреждения нейронов мозга. Не только обонятельного нерва, так, на минуточку.
44;Знакомая переболела, говорит память ухудшилась.
45;"Почитала, тоже прифигела вместе с вами. И главное - ""переболели всей семьёй, тест никто не делал""."
46;Именно поэтому у меня в голове не укладывается, как в моей семье и среди близких друзей не болеет и не болел ей никто. Думала, вся Москва первая переболеет. Но нет, мы тут, все ещё коронафри))) хотя хз, мы в сентябре какой-то жестью с мужем переболели, далеко были от Москвы, никто никаких тестов не брал. Может оно.
47;В октябре переболели родители мужа и многие знакомые.
48;Ну распространяется зараза :( Очень ждем прививки!
49;Дочка в садике умудрилась словить одновременно ветрянку и ОРВИ. И в это же время оказалась контактной по короне. Тоже в садике. Радуюсь соплям и нюхаю всё подряд.
50;"Я начал болеть бессимптомно. После обнаружения длительной температуры пошёл в поликлинику.
И как меня лечили?
Антибиотиками!
Следует отметить, что это антибиотики 3-го поколения (цефтриаксон). Потому с непрофессионалами столкнулся либо ТС, либо Я."
51;Антибиотики врачи при вирусняке назначают, чтобы не было вторичных бактериальных инфекций, которые не яркое течение болезни тебе превратят в кучу осложнений
52;"Хм , ну смотри : никто вроде не болел, но маман у меня типо болела чем-то вроде воспаления легких. Но... нет.. нет.. это ж не ковид.Прям вот нет и все.
У колеги на работе родственник чет цепанул, тест показал вроде ковид. Наши.. хз как назвать их , медики-чиновники засандалили всех кто жил в квартире на общий карантин( читай заперли) , а там еще 2 детей маленьких. Ну они ж контактировали, значит все будут вместе сидеть. Мож кто и останется живой.
А так не.. Никто не болел, только грипп и трисичуха 😉😂😂😂😂"
53;К сожалению, многие просто психологически не способны воспринять информацию, что нет спасительного лекарства, которое выпил при первых признаках, и все будет хорошо
54;Согласен. Мы хотим быстро и сразу
55;Лол, была температура. Приехала чумная скорая. Взяли мазки и выписали мне арбидола. Такая ли проблема в пациентах?
56;Угу, тото раньше с пневмонией с 30 процентами можно было при большом неведении в реанимацию заехать, а сейчас будешь сидеть дома пока не сдохнешь.
57;"Под этими петициями не хватает только телефончиков служб похоронных услуг ))
Настолько оптимистичная стена получилась..."
58;"""Не мы, а вы!""(с)"
59;Люди считают, что если Малахов, Малышева, Мясников, Жопогурцов (сабж на выбор) сказал, то, если пить правильные таблетки, то сразу все пройдет
60;Обогатить аптечных монстров
61;Свинец съесть на сверхзвуке, рекомендую 12*70. Быстро, сразу. Надёжно
62;"Сам убедился в этом, пока болел. Родственники ни в какую не понимаю что нет лекарств, ну вот вообще нет, никаких, никак, ну нету блин, лежи, отдыхай, нет, барсучье сало тоже не поможет. Нет фуфломицыны тоже не помогут лежи отдыхай. Нет не надо жрать антибиотики!! Лежи отдыхай!

Сцуко, месяц уже всё это длиться. А ещё лаборатории уже две недели как не могут сделать анализ, потеряли блять. Уже срок постановления о изоляции истёк, а первый и единственный тест всё не готов."
63;Некоторые считают, что барсучье сало вообще от всего помогает. Болеешь ОРВИ - втирай барсучье сало, проблемы с женщинами - намажь барсучьим салом, выросли цены на бензин... Хотя нет, это скорее наоборот из-за барсучьего сала и выросли.
64;Есть вспомогательные, которые лечат последствия, а не сам вирус
65;"У меня полторы недели назад температура 40 за полчаса подскочила, до этого никаких симптомов. Выходные дома сидел, скорая не ездит, только к совсем плохим. В понедельник своими ножками к врачу, там таких как я 30 штук в очереди. Выписали жаропонижающие и прочую хрень. 3 дня пил чаёчки, при 40 пил жаропонижающие. В среду чувствую сдыхаю, температура 40, головные боли, тяжесть в груди, скорая так и не едет, типа молодой, а у нас есть и потяжелее.
Ну я их не виню, у нас в городе реально жопа, в скорой люди по 3 суток работают, спят только между вызовами. У меня однокурсник до этого от пневмонии умер в реанимации.
Плюнул, попросил родителей купить антибиотик широкого спектра, я антибиотики вообще очень редко пью, поэтому решил хуже не будет, а то до следующего похода к врачу могу и не дожить.
После приёма первой таблетки, через 4 часа температура снизилась до 37, боли ушли, начал пить курс. На следующем приёме, отправили на флюру, оказалась левосторонняя пневмония, так то, а думаю если бы ещё несколько дней потерпел, то могло всё очень плохо кончиться. ."
66;"Дададада. Топовый вопрос от жены: ""почему ты не лечишься?"" Блин, может потому, что нет лекарства?
Правда сегодня дошел до терапевта со словами: ""выпишите хоть что-нибудь"". Кашель мокрый замучал. Выписала, буду пить. А что, а вдруг?)))"
67;Сцуко, меня при любой форме лёгкой ОРВИ так на работе задалбывают! Пей! Жри эти фуфломицины! Фуфломицины рулят! Извините, наболело(
68;температура 40 неделю, лежи отдыхай, лечить то нечем хули. Сбивай, пока печень не отвалится
69;Чё это барсучье сало то не поможет? Просто никто не проводил исследований))) память что жопу утки окунали в раствор сахара ведь помогает)))))
70;"Меня пока что миновала участь (не хочу каркать конечно). Но почти все знакомые ктио болел, закидывались антибиотиками. Все знают что от вируса они не лечат. Пьют для предотвращения развития пневмонии.
Ну а антикоагулянты и другие вспомогательные плюшки (выписанные врачами) вовсе не навредят, и даже возможно помогут."
71;Ох, а с родственниками совсем все сложно. Скажешь что покупать лекарства бессмысленно - обидятся что деньги зажал и не жалеешь их. А итоге плюнула на это, сама пошла чаем лечиться
72;Борский жир очень хорош про простуду не помню но плов на нем замечательный получился.
73;Они не потеряли для статистики тебе не скажут что у тебя ковид
74;надо советовать чай с лимоном и медом, вроде как и лечишься и вреда нет)
75;"а первый и единственный тест всё не готов.
и нахер он тебе сдался?"
76;Больше печёт от тех, кто тут пишет, что у него ковидла, а врачи ничего не делают и даже в больницу бедняг с температурой 37,5 не кладут. Когда выписывают фуфломицин, то возмущаются, не понимая, что лекарства нет.
77;Потому что болезнь коварная мразь и люди не на пустом месте паникуют. У меня кореш неделю лечился дома с 37 и кт-1. За 2 дня стало хуже до потери сознания. В реанимацию отвезли с 80%.
78;"Охладите траханье. Переход от ""все нормально"" до ""уже пиздец"" может быть достаточно быстрым."
79;У меня есть знакомые, которые вообще говорят что ковидом переболели в прошлом году. Как ни пытаешься убедить что в прошлом году его как бы еще не было (либо риск подцепить его в поволожье в декабре 2019 был один на миллиард), говорят херня это все, они точно болели.
80;У нас в поликлинике, когда мы пытались вызвать врача на дом, сказали что кислород 92% и температура 38,5 это нормально и нет повода вызывать врача, в скорой сказали тоже самое.
81;Насколько я понял антибиотики пьют, чтобы не было еще и бактериальной инфекции, потому что если с двумя пневмониями у тебя уже нет шансов.
82;Это в корне неправильно, аб не могут предотвратить развитие бак. Инфекции. Они могут только лечить уже развившуюся.
83;Не совсем. Просто сейчас не могут за каждым уследить и боятся проебать момент, когда бактериальная инфекция таки наступит. Выписывают антибиотик на 7-10 дней, а за это время корона сама проходит. А для профилактики антибиотики не работают.
84;А как же перцоффка?
85;Мой самогончик лечит все и с гарантией! Как начал лет 8 назад гнать, так даже периодически напоминнавшая о себе много-много лет дырка в желудке исчезла.
86;Да не поможет(Пробовал(Самогон 70 градусный, хрен знает сколько раз перегонялся. Отец делал. Брат каждый день неделю пил. Заболел.
87;Бери струйный балон, пена конечно звучит збсь, но работает так себе. А струйным если раз зарядить то сразу все болезни проходят, даже хроническая охуевшесть и наследственный быдлонизм.
88;И начинают литрами пить порошки на основе парацетамола при температуре 37.5, антибиотики и шлифуют все это каким-нибудь кагоцелом или прочими фуфломицинами. Один раз чуть с другом не поругался из-за этого его самолечения ))
89;Вот, кстати, чем именно аргументировать против первого надо будет почитать. Помню только, что в принципе низкую температуру сбивать не стоит
90;"Сделать КТ в Екатеринбурге это квест. Мне инвалиду, который закашливался (пульмалог за 5 дней сказал ""легкое поражение легких"" до диагноза, когда покашливал только), сказали по телефону (!) я не слышу у вас симптомы, вам КТ не положено.
Жена закашливалась выбила КТ себе. Через Минздрав. Результат ей объявили через 10 дней. 20-25% поражение.

Благо друзей в медицине много. Поэтому сразу противовирусное и 2 антибиотика.

Врача я видел 1 раз. 2-3 раза по телефону... Вы же чем-то лечитесь, вот и лечитесь! Будет хуже звоните в скорую!!!

Екатеринбург, июль."
91;Зк рублей и вечером тебе делают кт, результат через 15 минут. Тамбов ноябрь
92;"И к вопросу об лекарствах: ""Но есть и хорошие новости. Московские скорые будут выдавать бесплатные лекарства пациентам с коронавирусом.

Говорят, это чтоб люди сразу могли начать лечение и не занимались самодеятельностью. А если состояние совсем тяжелое и есть малейшее подозрение на пневмонию, больных обещают сразу везти на КТ. И даже 12 новых круглосуточных центров под это дело есть.

Отныне решение о госпитализации будут принимать исходя из оценки общего состояния пациента. И исключительно на цифры ориентироваться не будут. Диагностировать же коронавирус будут врачи, которые работают в поликлиниках.""
То есть лекарства от ковида как бы есть и их надо...

https://t.me/coronavirus_pandemic_news/6735"
93;Какое еще противовирусное, какие антибиотики от ковида?!!! Это пиздец товарищи....
94;Не понятно, зачем у нас всё ещё КТ используют. За границей давно определяют состояние по УЗИ. На ютубе даже видеокурсы есть.
95;Почему я Ваш никнейм читаю с расширением .js ? Проклятый джаваскрипт...
96;есть иммуносупрессоры которые как раз в тяжелых состояниях назначаются и они помогают. тяжелые состояния характерны для нетипичной реакции сильного иммунного ответа, потому и назначают подавляющие иммунную систему препараты. но естественно такое лечение не для самостоятельного домашнего применения.
97;У меня у сестры температура, тк ничего не нашли, сказали, что возможно, это гормональное на фоне полового созревания. И выписали антибиотик. Терапевт так и сказал: на всякий случай. 🙈
98;Все бы хорошо, но только сейчас врачи сами при положительном анализе на коронавирус назначают антибиотики всем. Типа для профилактики бактериальной пневмонии, хотя это чушь. Так что для начала было бы неплохо до врачей донести.
99;Где-то читал, что примерно к 2050 г., если не изобретут принципиально новые антибиотики, все текущие перестанут действовать, так как бактерии станут устойчивы к ним.
100;"И нам назначали когда мы болели. Причем два антибиотика сразу ""для надежности"". В итоге муж один из них решил не принимать"
101;"Вакцина есть, но там наночипы, изменения днк и всё такое, ""лучше уж по старинке перболеть"" с осложнениями на все системы, начиная с лёгких и кончая головным мозгом, хотя стронникам чипизации бояться поражения мозга не надо - вирус не найдёт цель в голове."
102;А ко мне терапевт пришел участковый ( молодой парень) и примерно как на картинке в посте все сразу сказал. У меня аж челюсть упала,я ожидала, как от детских педиатров районных, слушать про арбидол и какой-то там ферон
103;Десятилетиями объясняют народу, что антибиотики в принципе не от вирусов, но вот не помогает. При каждой простуде пьют и другим советуют
104;Я заболел короной и мне прописал врач пить антибиотики и противовирусное. Что за нах!?
105;"Ну, антибиотики прописывают на всякий случай чтобы бактериальную пневмонию дополнительно не подхватить пока организм ослаблен, в принципе тяжело точно сказать стоит пить антибиотики или нет.
Противовирусные же в большинстве своем бессмысленные лекарства сам вирус не убивающие, но частенько имеющие эффект парацетамола и/или обыкновенных таблеток от горла снимающих симптомы."
106;А как же пачка ремантадина???
107;Как человек, который переболел 3 недели назад, не соглашусь
108;"однако в москве противовриусные препараты прописывают при короне.
более того, почти всем еще и дают антибиотики, чтобы они не подхватили за компанию и бактерии."
109;Морфий же.
110;"Полностью согласен
YouTube●7:05"
111;Я уже писал при первой волне. у родителей по улице жила бабка, лечившая своего внука оциллококцинумом от бешенства.
112;Все лечит сам организм. Только клизма лечит запор сама
113;То чувство, когда эти многие - врачи )))
114;"Второе когнитивное искажение - ""лучше выпить что-нибудь, чем вообще ничего не делать""."
115;Соглашусь с Вами, паника порой может нанести больше вреда. Особенно антибиотики без назначения
116;Так то есть. Йад
117;Впринципе, поэтому можно вкинуть, что какие-то таблетки помогают и кто-нибудь да вытянет на эффекте плацебо
118;Ты просто аспиринку не пробовал
119;"В первый день подскочила температура 39,5, не выдержал и ебанул ТераФлю на ночь. Сбил. На третий день стали теряться запахи и вкусовые. На шестой день водки с перцем три стопки. На седьмой гриппфероном начал капать и какой-то фуфломицин в кол-ве 6 таблеток (по одной на день), типо ""иммуномодулятор"". Хз зачем правда, послушал чей-то совет. В принципе вот так лечение мое и прошло"
120;"Более того тут медики анализ подогнали, большинство ""тяжелых"" ковидников, пытались лечить себя антибиотиками выбранными случайным образом. Вобще клево, ведро антибиотиков, грязная маска носимая месяцами, можно вносить в книгу экстравагантных способов суицида"
121;21 век. Больницы вынуждены объявления писать от руки
122;Согласитесь, что писал не медик
123;Это кто-то посторонний писал, в больничках все норм с печатью объявлений)
124;"Я заболел пропал запах, у бати ковид, пересекались пару дней назад, тогда не знал он что у него ковид. В больнице сказали,раз не живёте вместе, значит не контактный,а то что запаха и вкуса нет и температура, так это может и не ковид- не будем мазок брать.
Пошёл в магазин за картошкой(сарказм)"
125;Главное в мультифоре :3
126;"Многие люди проще нарисуют от руки, потому что контупер это сложно. А тут еще и в цвете.

Принтеры в больницах в охуенном ассортименте, так что вырубай всепропальщика."
127;Хуйню не лечим, а пиздец неизлечим...
128;"там просто контекстом матюк между ними подразумевается

Корона блеать ВИРУСНАЯ
Анти сцуко БИОТИКАМИ"
129;"Потому что к вирусной пневмонии, которая антибиотиками не лечится, может бактериальная присоединиться. Которая антибиотиками вполне лечится.
Сидел 10 суток на флемоксине, т.к. подцепилась бактериальная. Сегодня ""выхожу на свободу"". Болел 3 недели. Поражение лёгких - 25-50%. Обошлось без госпитализации.
Очень хуёвая болезнь. Берегите себя."
130;Все верно, у меня обострение хронического бронхита вылезло. Тоже антибиотики пил. Когда спать из-за кашля не можешь, тут хоть что сожрёшь, лишь бы помогло.
131;К тому же в больницах тоже антибиотиком лечат.
132;Антибиотики назначают по мазку/пункции при ДИАГНОСТИРОВАННОМ бактериальном осложнении. В ином случае будет только хуже в 99% случаев. (1% на то что бактериалка таки началась и с типом антибиотика вы случайно угадали).
133;"на флемоксине
____________
вроде бы как  - макролиды прописывают при пневмониях ковидных. А флемоксин - он к пенициллинам относится."
134;"Во время эпидемии птичьего, а потом свиного гриппа были атипичные пневмонии
Начинались как вирусные, но быстро присоединялась бактериальная инфекция (вирус очень сильно ""гасит"" местный иммунитет в легких)
Частоту смертельных исходов таких пневмоний получалось тогда снижать ранним назначением довольно сильных антибиотиков
Так что не все так однозначно. Задача ведь не вирус победить, а человека спасти."
135;Не в тему написали. У нас народ любит все лечить антибиотиками.  То есть еще до пневмонии не дошло, а уже  бахают. ОРВИ  и то лечат. А есть еще индивидумы которые для профилактики ОРВИ пьют антибиотики.
136;Почитал это человек с коронаВИРУСом + бактериальным осложнением и не стал пить антиБИОТИКИ прописанные врачём, ага. Во всём нужна мера и адекватность.
137;"Думаю это для тех кто пришел с вопросом ""мне кажется я болею, дайте самые мощные антибиотики на всякий случай"""
138;Прописанные врачом не панацея тоже, у нас участковые терапевты любят антибиотики не по делу. Мазок/пункция и вы хотя бы знаете что у вас именно и что пить. (В больницах другая картина, там могут не глядя выписать, когда знают что у них по больнице вторичная бактериалка ходит)
139;Не все знают разницу между бактериальными и вирусными заболеваниями, как бы это грустно не звучало. Поэтому антибиотики и продают только по рецепту - некоторые их при гриппе пьют,соответственно, развивается резистность на пустом месте и когда они становятся по настоящему нужны, они просто уже не помогают.
140;ага, только по рецепту, азитромицин, цефтриаксон, и амоксиклав походу не аб, пушо ни разу рецепта на них не спросили
141;Лежел именно у них и почему то всем этим они меня лечили)
142;Лечили - то пневмонию, а не саму корону
143;Пневмония не равно бактериальная пневмония. Есть и вирусная.
144;А нах мне арбидол давали?
145;Ну хз. Я в феврале заболел, 4-5 дней температура 40, не спадает. Врач на дом пришёл, ципрофлоксацин выписал, только после него в себя пришёл, в первый же день приёма, t упала до 38.5, на второй день уже в норму пришла, но я весь курс проколол.
146;Значит под эффектом ослабления ковидом иммунитета у вас была сопутствующая инфекция. Это сплошь и рядом, так что плакатик черезчур категоричен.
147;Ну вот и я о том же.
148;а что в феврале был ковид в россии?
149;Меня в стационаре на иммунодепрессанте держали неделю, пока мой внутренний слон не успокоился и перестал громить внутреннюю посудную лавку. Без антибиотиков - бак посев чистый.
150;Ловите врача!
151;Как остановить при гриппе перетекание в воспаление легких без антибиотиков?
152;"Больше спать, не напрягаться, много пить и надеяться на иммунитет.
Антибиотики нужно пить когда перетекание началось. Причем разные, в зависимости от того что началось. Если пить до, то как минимум выбьете микрофлору кишечника, как максимум посадите иммунитет и поймаете пару побочек, а они у антибиотиков фиговые."
